Sulfur dioxide,Carbon monoxide,Ozone,PM10,Nitrogen oxides,Nitric Oxide,Nitrogen dioxide,Total Hydrocarbon,Non-hydrocarbon,Wind Speed,Wind Direction,Ambient temperature,Rainfall,Methane,PM2.5,Relative humidity,Hourly Wind speed Vectors,Hourly Wind Direction Vectors
2.2,0.32,33.1,25.0,10.2,2.2,8.0,2.0,0.06,0.9,3.0,29.6,0.0,1.94,10.0,78.0,0.6,39.0
2.1,0.3,49.2,37.0,8.3,1.3,6.9,2.04,0.06,2.0,292.0,30.2,0.0,1.98,16.0,78.0,0.6,347.0
2.6,0.28,67.5,29.0,7.0,0.8,6.2,2.02,0.04,1.1,340.0,29.8,0.0,1.98,16.0,79.0,1.7,293.0
2.4,0.19,55.0,20.0,6.4,0.8,5.5,1.9,0.02,1.9,288.0,30.9,0.0,1.88,7.0,76.0,1.3,298.0
2.1,0.16,45.1,12.0,5.4,0.9,4.4,1.86,0.01,1.5,342.0,31.1,0.0,1.85,4.0,75.0,1.6,298.0
1.7,0.12,31.6,13.0,4.1,1.1,3.0,1.85,0.0,1.7,312.0,31.5,0.0,1.85,3.0,75.0,1.4,299.0
1.5,0.14,27.1,11.0,4.9,1.2,3.7,1.9,0.0,1.6,301.0,30.9,0.0,1.9,3.0,78.0,1.3,299.0
1.4,0.19,25.9,20.0,6.1,1.1,4.9,1.92,0.03,1.3,162.0,30.6,0.0,1.89,2.0,79.0,0.3,234.0
2.0,0.27,14.0,28.0,16.3,2.2,14.0,1.97,0.06,1.1,263.0,29.9,3.0,1.91,2.0,81.0,0.8,166.0
1.1,0.33,12.3,23.0,13.7,1.4,12.3,2.02,0.09,0.7,190.0,28.8,0.0,1.94,6.0,85.0,0.3,172.0
1.1,0.28,14.6,20.0,12.2,1.1,11.1,2.0,0.07,0.6,156.0,28.5,0.0,1.93,5.0,86.0,0.3,157.0
1.0,0.24,13.0,16.0,11.1,0.9,10.2,2.0,0.06,1.1,14.0,28.4,0.0,1.94,8.0,84.0,0.5,69.0
1.0,0.23,6.6,7.0,10.6,0.7,9.9,2.04,0.06,1.3,42.0,28.0,0.0,1.98,5.0,81.0,0.8,49.0
0.8,0.2,7.3,8.0,9.5,0.9,8.5,2.0,0.04,1.3,68.0,27.8,0.0,1.96,2.0,81.0,1.0,56.0
1.0,0.19,6.1,10.0,9.6,0.7,8.9,1.98,0.05,0.5,46.0,27.6,0.0,1.93,2.0,82.0,0.9,71.0
